EpRewMean,TimestepsSoFar,loss_ent,EpThisIter,EpLenMean,loss_vf_loss,loss_pol_surr,loss_kl,TimeElapsed,AgentID,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before
-928.477340772,5110459,6.33355522156,507,194.611,5052.48892212,-0.0118486992724,0.0067809187943,3439.497219800949,0,30249,,-0.000528812408447
-936.083516588,5208826,6.26434230804,480,198.921,5225.74203491,-0.0116917799605,0.00735665980998,3505.4334597587585,0,30729,,-0.00104486942291
-947.142199667,5306687,6.204829216,493,201.208,5130.16899618,-0.01170133842,0.00653852548567,3570.568897485733,0,31222,,-0.000458002090454
-925.778633469,5404782,6.12492513657,490,198.849,4618.7687734,-0.0117886950369,0.00661428116534,3635.704828262329,0,31712,,-7.04526901245e-05
-924.989409618,5503288,6.04728746414,478,202.728,4889.8906606,-0.0117805649788,0.00690267507647,3700.6730003356934,0,32190,,0.000176787376404
-946.576536388,5601272,5.97503566742,463,207.94,4802.83128866,-0.0121268501486,0.00696947155908,3765.6630866527557,0,32653,,-0.000171899795532
-962.619010392,5699780,5.90569496155,462,211.976,4505.82659403,-0.0117493195576,0.00679244087466,3830.74307012558,0,33115,,-9.16719436646e-05
-948.84166742,5798650,5.82373094559,471,212.457,4512.5604248,-0.0120092790069,0.00719278878144,3895.804778575897,0,33586,,8.41617584229e-05
-922.288175112,5896591,5.75073099136,467,209.819,4314.83713277,-0.0122070333891,0.0070154647013,3961.1174359321594,0,34053,,-0.000725388526917
-928.664915438,5994998,5.6841673851,438,215.682,4185.10641988,-0.0117639442227,0.00683909767152,4026.760036945343,0,34491,,-0.000336050987244
-937.29331076,6093268,5.61843013763,452,219.771,4144.54246521,-0.0120399960288,0.00717214753968,4093.5457191467285,0,34943,,-0.000795006752014
-908.865886424,6192346,5.55346107483,454,217.629,3965.14172872,-0.0122148524048,0.00693430702086,4159.354913711548,0,35397,,3.6358833313e-05
-906.021680493,6289651,5.50383520126,450,217.767,4251.97743734,-0.0121917346405,0.00679791371416,4224.901444911957,0,35847,,0.000491499900818
-897.865779544,6387791,5.46164894104,447,219.828,3607.78580729,-0.0123989582256,0.00704734432899,4290.472021579742,0,36294,,-5.66244125366e-05
-864.583145974,6486354,5.39866447449,478,211.592,3925.86538696,-0.0116839257826,0.00718606598093,4356.695282936096,0,36772,,-0.000131130218506
-888.133065031,6584565,5.32577085495,427,217.026,3741.44972229,-0.0124706321803,0.00711672157437,4422.4584765434265,0,37199,,-5.03063201904e-05
-906.562597245,6682915,5.26760005951,429,226.357,3929.18237305,-0.0123208465617,0.00684901616963,4488.055645942688,0,37628,,-0.000194072723389
-903.194428571,6780759,5.21003627777,445,225.356,3844.26596069,-0.0129469950383,0.00762229803756,4553.768691301346,0,38073,,-0.000169992446899
-882.404076658,6878746,5.14679956436,421,228.332,3522.34237671,-0.0125587991157,0.00722850932895,4619.16459274292,0,38494,,6.13331794739e-05
-869.083694609,6977647,5.08237075806,459,224.19,3638.36853027,-0.0124334618692,0.00738704954468,4684.880874872208,0,38953,,0.000313520431519
-853.441052265,7075966,5.02449274063,427,223.206,3548.24175008,-0.0127144322711,0.00732203388664,4751.358856201172,0,39380,,2.07424163818e-05
-866.906625158,7174912,4.96181726456,407,231.637,3554.54856364,-0.0131328423498,0.00742676471903,4817.116765975952,0,39787,,-1.91926956177e-05
-862.926940222,7272296,4.8859629631,444,229.855,3410.87417094,-0.0127500161179,0.00727935410881,4883.670953035355,0,40231,,-0.000787734985352
-843.097069121,7369498,4.82836866379,431,224.152,3535.38726298,-0.0127943040255,0.00766519303822,4949.557680606842,0,40662,,0.000243782997131
-834.11653757,7469012,4.78103017807,445,225.974,3294.0138855,-0.0129538633725,0.00727450413979,5015.4109308719635,0,41107,,2.19941139221e-05
-826.405056303,7567768,4.74022912979,429,226.191,3138.81874593,-0.0131035554417,0.00748163918615,5081.387691259384,0,41536,,6.41345977783e-05
