selected_iter1,loss_ent,TimestepsSoFar,ev_tdlam_before,iteration,AgentID,selected_iter0,EpRewMean,EpisodesSoFar,loss_pol_surr,loss_kl,loss_pol_entpen,loss_vf_loss,EpLenMean,EpThisIter,TimeElapsed
6,10.376540184,392512,-0.00802707672119,7,1,4,-1253.61709577,2508,-0.0165846286012,0.00849732211403,,14881.2675171,153.783,323,565.4345116615295
1,10.2895517349,440790,-0.0152540206909,8,0,7,-1313.42547128,2841,-0.0185877769109,0.00923159873734,,21729.4585368,153.798,313,600.476790189743
7,10.2653751373,441068,-0.00374412536621,8,1,5,-1255.93750603,2813,-0.0180365136281,0.00881717875988,,14426.5674642,155.95,305,634.9339864253998
8,10.1849689484,490285,-0.0162469148636,9,0,8,-1362.47322511,3144,-0.0186971876198,0.00906385314496,,22794.8225911,160.443,303,669.8754005432129
8,10.1565723419,490373,-0.000429034233093,9,1,8,-1281.63742839,3139,-0.0182382215814,0.00906311594493,,13928.4833171,158.314,326,705.2737946510315
9,10.0852241516,538539,-0.00772476196289,10,0,9,-1344.36167659,3442,-0.0195858410783,0.00941501874089,,20116.0574951,160.049,298,740.6954216957092
9,10.0566215515,539297,0.00301897525787,10,1,2,-1263.0530491,3435,-0.0179321373289,0.00879245367832,,13657.3627523,159.453,296,776.0768265724182
10,9.97209262848,588405,0.000212550163269,11,0,10,-1329.72712396,3752,-0.0197634177651,0.00929978835241,,21199.5184733,161.175,310,811.208578824997
10,9.94621372223,588313,0.000467777252197,11,1,2,-1274.36817199,3743,-0.0194043516919,0.00883407283497,,13367.1575928,161.251,308,846.4965550899506
11,9.86661911011,637671,-0.000356316566467,12,0,11,-1322.55580568,4064,-0.0199219125498,0.00878323820264,,19798.357137,159.742,312,881.736442565918
11,9.83544254303,638285,0.00103121995926,12,1,8,-1261.96945917,4049,-0.0199574475895,0.00891587076088,,13402.15448,160.515,306,916.918622970581
1,9.77173519135,686935,-0.0011693239212,13,0,12,-1324.11756741,4371,-0.0199531334414,0.00900252111023,,19785.3132324,161.701,307,952.2040982246399
12,9.73733043671,686810,7.09295272827e-05,13,1,3,-1228.70583775,4358,-0.0203390139504,0.0087106822563,,11837.8098145,158.975,309,987.5345227718353
6,9.68018245697,736008,0.00137621164322,14,0,13,-1279.70281903,4679,-0.0202293158412,0.00870176395013,,18371.1837769,159.725,308,1022.8269033432007
13,9.63493251801,736152,0.000192821025848,14,1,10,-1222.61970768,4654,-0.0201711676006,0.00874279846903,,11811.414388,161.684,296,1058.1871690750122
7,9.57039070129,785261,-0.00119185447693,15,0,14,-1258.3551549,4999,-0.0221381182928,0.00924320747921,,17944.7871704,159.297,320,1093.5688951015472
14,9.53011226654,785141,0.000499129295349,15,1,6,-1209.05358126,4965,-0.0210790275451,0.0089081376791,,11862.2602946,160.208,311,1129.2556676864624
12,9.47812843323,834301,-8.41617584229e-05,16,0,15,-1250.75175622,5306,-0.021745906648,0.00907398116154,,17815.7230428,157.214,307,1164.819961309433
15,9.42537212372,834691,-0.000159740447998,16,1,15,-1181.74337502,5276,-0.0210955296837,0.00884043914266,,10962.1974894,157.858,311,1200.1993925571442
0,9.37637996674,883399,0.0016056895256,17,0,16,-1244.113737,5611,-0.022033478502,0.00920982251409,,17779.6954549,158.492,305,1235.4453897476196
16,9.31857872009,882966,-0.00107491016388,17,1,5,-1182.60374674,5580,-0.0223795522858,0.00905096214653,,10631.3455404,159.633,304,1271.0013904571533
12,9.27571392059,932374,0.00130611658096,18,0,17,-1239.07328156,5907,-0.0223476367634,0.00915028506036,,15934.7311401,161.353,296,1306.384839296341
17,9.20320987701,932295,-0.000247120857239,18,1,15,-1174.06700699,5873,-0.0231870027298,0.00911502460561,,10572.9715678,161.786,293,1341.678896188736
18,9.17477798462,981635,0.000299155712128,19,0,18,-1248.49952899,6200,-0.0235135964758,0.0089631320443,,16792.8834635,165.522,293,1377.1900668144226
18,9.1021566391,982140,0.000487089157104,19,1,7,-1214.65506193,6171,-0.0230845386541,0.00889130161765,,9916.12196859,167.738,298,1412.2891063690186
