loss_vf_loss,EpThisIter,loss_pol_surr,TimeElapsed,loss_pol_entpen,loss_kl,iteration,AgentID,selected_iter0,EpisodesSoFar,EpLenMean,ev_tdlam_before,TimestepsSoFar,EpRewMean,loss_ent,selected_iter1
3671.49010722,452,-0.0459899518367,2245.1079399585724,,0.0299391569958,13,1,3,5994,108.666,0.877865508199,687414,-297.577566754,-1.48868012428,12
2940.73261515,432,-0.0482933269523,2325.1846747398376,,0.0296865721466,14,0,13,6534,112.091,0.788602128625,736652,-356.882860178,-1.16288459301,6
3238.46268209,441,-0.0466677795048,2403.9700756073,,0.0300478922824,14,1,10,6435,112.43,0.92325758934,735834,-291.001324011,-1.51256501675,13
2516.51746877,428,-0.0483373706035,2486.4517283439636,,0.0301683557142,15,0,14,6962,112.227,0.791628837585,785196,-354.11593673,-1.19589316845,7
3187.96157583,444,-0.0453684881019,2566.6016323566437,,0.0288955421808,15,1,6,6879,112.694,0.877837814391,785461,-281.468423651,-1.52320277691,14
2504.57513428,471,-0.0440349633961,2647.8940031528473,,0.0317587799315,16,0,15,7433,108.444,0.786770477891,834741,-337.847006923,-1.21809911728,12
3246.43981934,449,-0.0448608203636,2728.641996860504,,0.0292919481872,16,1,15,7328,108.234,0.651347666979,834417,-288.345336393,-1.54869675636,15
2341.0480779,431,-0.0490427195521,2809.3446340560913,,0.0303706391715,17,0,16,7864,111.537,0.845431730151,883549,-336.263498454,-1.23779368401,0
3576.00145467,459,-0.0454238182477,2890.173002719879,,0.0298749430804,17,1,5,7787,109.744,0.868966937065,882970,-267.493765472,-1.55935657024,16
2343.97394307,442,-0.04762323938,2972.415013551712,,0.0291421162353,18,0,17,8306,108.547,0.828579768538,932553,-328.111245994,-1.26343750954,12
3456.86558533,448,-0.0446457975001,3053.571083545685,,0.0316983967399,18,1,15,8235,110.793,0.917853057384,932971,-273.963741632,-1.57082343102,17
2230.46268717,459,-0.048610607133,3134.2119977474213,,0.030125441961,19,0,18,8765,109.844,0.8010173738,982276,-337.915289645,-1.29428994656,18
3469.59575399,434,-0.0460951206041,3214.022688150406,,0.0305092693307,19,1,7,8669,109.968,0.840319529176,982163,-276.207835323,-1.60086107254,18
